,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Mainline 1,7608.0,8700.0,8220.0,8652.0,8652.0,8784.0,8100.0,9612.0,8460.0,9576.0,8748.0,9084.0,8640.0,8784.0,8304.0,9384.0,9720.0,8988.0,9540.0,9048.0,9384.0,10320.0,9648.0,9060.0,8244.0,8388.0,8280.0,8916.0,7020.0,8856.0,7524.0,8772.0,9108.0,8148.0,8808.0,8880.0,7392.0,9480.0,9468.0,8280.0,9300.0,8244.0,8808.0,9480.0,9288.0,8796.0,9348.0,9264.0,8184.0,9444.0,9660.0,9156.0,9120.0,9168.0,9228.0,9948.0,9504.0,8136.0,9876.0,9108.0,9216.0,9420.0,9636.0,9156.0,9048.0,10212.0,9132.0,8700.0,9300.0,9768.0,9336.0,9024.0,9168.0,8904.0,8868.0,7764.0,7584.0,7980.0,8688.0,6936.0,8304.0,7920.0,7776.0,6972.0
Mainline 2,10776.0,12288.0,11592.0,11820.0,11544.0,11604.0,11580.0,12348.0,11268.0,12552.0,11976.0,12696.0,12648.0,11904.0,12264.0,12732.0,13248.0,12612.0,13236.0,12624.0,13068.0,13212.0,13176.0,11628.0,9852.0,11280.0,10716.0,10212.0,10632.0,9936.0,11688.0,12864.0,12288.0,11256.0,10380.0,9084.0,12612.0,11892.0,8724.0,12360.0,11484.0,12516.0,12144.0,10476.0,12480.0,12456.0,11292.0,11664.0,12000.0,10332.0,12792.0,9408.0,12480.0,12552.0,12696.0,13680.0,9768.0,12180.0,12672.0,12864.0,12936.0,13344.0,11208.0,12720.0,12888.0,13008.0,12408.0,11760.0,13020.0,12648.0,12552.0,12216.0,12540.0,12192.0,10992.0,10740.0,9612.0,11196.0,12240.0,10404.0,11064.0,10728.0,9960.0,9636.0
Mainline 3,6936.0,7764.0,7572.0,8796.0,8088.0,7788.0,8268.0,8244.0,8160.0,9180.0,7728.0,8304.0,8520.0,7992.0,7824.0,8796.0,8580.0,7596.0,8592.0,8688.0,9156.0,8136.0,7668.0,6732.0,7200.0,6912.0,7104.0,6744.0,7668.0,7824.0,8292.0,8196.0,8136.0,7704.0,8184.0,7704.0,7980.0,8076.0,8256.0,8124.0,8352.0,7812.0,8484.0,7968.0,8412.0,8364.0,8640.0,8244.0,8136.0,8484.0,8028.0,8268.0,8316.0,8508.0,8280.0,8484.0,8136.0,8496.0,8580.0,8640.0,8904.0,8376.0,8676.0,7980.0,8472.0,8688.0,8112.0,8484.0,8460.0,8736.0,8016.0,8064.0,8472.0,9048.0,7656.0,7788.0,6876.0,7872.0,7116.0,6528.0,6372.0,6876.0,6960.0,6204.0
Mainline 4,6792.0,7236.0,7404.0,8220.0,7848.0,7116.0,7896.0,8856.0,9264.0,8916.0,8712.0,9060.0,9060.0,8208.0,9000.0,8964.0,9156.0,8004.0,9036.0,8448.0,9288.0,8640.0,8208.0,7368.0,7572.0,7512.0,7596.0,7224.0,7968.0,8388.0,8664.0,8016.0,8700.0,8388.0,8256.0,8616.0,8604.0,8268.0,8580.0,8460.0,8808.0,7776.0,8724.0,8508.0,8652.0,8820.0,8580.0,8760.0,9216.0,9084.0,8640.0,9108.0,8988.0,9192.0,9108.0,9288.0,8928.0,9372.0,9216.0,9000.0,9024.0,8796.0,9240.0,8700.0,9132.0,9072.0,8604.0,8940.0,9012.0,8940.0,9216.0,8724.0,9048.0,8856.0,8664.0,8664.0,8112.0,7992.0,7140.0,6756.0,6396.0,7032.0,7248.0,6444.0
Mainline 5,6756.0,6840.0,8388.0,8016.0,8028.0,7500.0,8172.0,8304.0,8904.0,8244.0,7392.0,8568.0,8088.0,7776.0,8568.0,8676.0,8028.0,7440.0,8100.0,8304.0,7908.0,7776.0,7428.0,7128.0,7860.0,8328.0,7332.0,6876.0,7716.0,8220.0,8532.0,8388.0,8880.0,8292.0,7836.0,7908.0,8340.0,7440.0,8304.0,8280.0,8076.0,7392.0,8376.0,8076.0,7800.0,8400.0,7584.0,7812.0,8208.0,8172.0,8208.0,8496.0,8568.0,7980.0,8988.0,8124.0,7944.0,8136.0,8784.0,8544.0,8088.0,8124.0,8568.0,7980.0,8220.0,8112.0,8028.0,8076.0,8028.0,7944.0,7992.0,8436.0,7536.0,7896.0,8160.0,7992.0,8088.0,7164.0,6156.0,6648.0,6024.0,6672.0,6072.0,5724.0
Mainline 6,7068.0,6372.0,7812.0,7212.0,7428.0,7188.0,8124.0,7644.0,7956.0,7320.0,7464.0,7932.0,7536.0,7992.0,8220.0,6756.0,4416.0,7536.0,6564.0,7764.0,7140.0,4908.0,5412.0,6132.0,7452.0,7500.0,7032.0,7788.0,6636.0,6324.0,7476.0,7848.0,7932.0,8136.0,7392.0,7128.0,7164.0,6168.0,8100.0,6948.0,6468.0,7128.0,7308.0,7104.0,7308.0,7824.0,6600.0,7164.0,6912.0,7200.0,7332.0,7416.0,7104.0,7332.0,8016.0,7164.0,7632.0,7260.0,7500.0,7056.0,7404.0,7092.0,7896.0,7620.0,7776.0,7152.0,7884.0,7632.0,6768.0,6780.0,7416.0,7248.0,6888.0,7320.0,7884.0,7428.0,7068.0,6180.0,5568.0,7044.0,6024.0,6396.0,5928.0,5676.0
Mainline 7,6276.0,5868.0,7008.0,6108.0,6960.0,6480.0,6960.0,6504.0,6768.0,6132.0,6408.0,6576.0,6480.0,7164.0,6876.0,5676.0,5304.0,6456.0,6240.0,6444.0,5388.0,5724.0,5388.0,6132.0,6480.0,6324.0,6348.0,6816.0,5280.0,5316.0,6336.0,6852.0,6504.0,6708.0,6564.0,6468.0,6132.0,6048.0,5808.0,6360.0,5472.0,5940.0,5676.0,6180.0,6024.0,5988.0,5832.0,5688.0,6000.0,6696.0,6600.0,6516.0,6240.0,6564.0,6396.0,6132.0,6780.0,6612.0,6600.0,6528.0,6624.0,6552.0,6900.0,6972.0,6852.0,6804.0,7104.0,6672.0,6240.0,6528.0,6888.0,6768.0,6192.0,7164.0,7140.0,6696.0,5592.0,5316.0,5340.0,6156.0,5484.0,5448.0,5172.0,5244.0
Mainline 8,6900.0,6180.0,7668.0,6948.0,7968.0,7644.0,7944.0,7344.0,7560.0,6804.0,7284.0,7212.0,7092.0,7932.0,7308.0,5556.0,6372.0,7068.0,6924.0,7056.0,4740.0,5424.0,5844.0,6528.0,7140.0,6780.0,6912.0,7116.0,5100.0,6168.0,6696.0,7260.0,7140.0,7056.0,7140.0,6768.0,5784.0,6564.0,6012.0,6552.0,6024.0,6408.0,5640.0,6396.0,6480.0,5904.0,6120.0,6216.0,6360.0,7080.0,7224.0,6696.0,6732.0,6924.0,6504.0,6588.0,7488.0,6960.0,6912.0,6948.0,6900.0,6864.0,7308.0,7272.0,7224.0,7656.0,7368.0,7284.0,6876.0,6984.0,7344.0,7212.0,7068.0,7848.0,7572.0,6972.0,6048.0,5976.0,5700.0,6768.0,6024.0,6156.0,5904.0,5856.0
Mainline 9,7320.0,6516.0,7860.0,7212.0,7920.0,7932.0,8292.0,7704.0,7896.0,7104.0,7668.0,7560.0,7332.0,8112.0,7488.0,5496.0,6900.0,7332.0,7104.0,7080.0,5652.0,5292.0,6876.0,6768.0,7392.0,7164.0,6924.0,6936.0,5460.0,6924.0,7152.0,7380.0,7452.0,7164.0,7428.0,7020.0,6000.0,6396.0,6828.0,6168.0,6060.0,6444.0,6024.0,6888.0,6456.0,5880.0,5460.0,6408.0,6672.0,7452.0,7332.0,6684.0,7188.0,7008.0,6648.0,7356.0,7464.0,7236.0,7176.0,7296.0,7200.0,7116.0,7488.0,7656.0,7260.0,7896.0,7584.0,7224.0,7236.0,7188.0,7704.0,7584.0,7056.0,8016.0,7608.0,7224.0,6252.0,6384.0,6132.0,7068.0,6132.0,6228.0,6144.0,5892.0
Mainline 10,6372.0,5724.0,6708.0,6876.0,7236.0,7284.0,6888.0,7668.0,7224.0,6672.0,7140.0,6816.0,7020.0,7404.0,5916.0,5844.0,6180.0,6660.0,6360.0,4500.0,5112.0,5004.0,6756.0,6456.0,6588.0,6648.0,6648.0,3708.0,5736.0,6444.0,6648.0,6312.0,6792.0,6708.0,6420.0,5232.0,6180.0,6060.0,5904.0,4608.0,6480.0,4836.0,5940.0,6156.0,4416.0,5388.0,4740.0,5820.0,6024.0,6252.0,4932.0,6012.0,4728.0,4920.0,5160.0,6348.0,6192.0,6372.0,5628.0,5772.0,4860.0,6564.0,6372.0,6720.0,6468.0,6732.0,6528.0,6732.0,6540.0,6876.0,6600.0,6408.0,6900.0,7152.0,6756.0,6312.0,5976.0,6072.0,5952.0,6468.0,6000.0,5532.0,5760.0,5700.0
Mainline 11,6996.0,6708.0,6792.0,7728.0,7236.0,7632.0,6960.0,7704.0,7452.0,7632.0,7632.0,7608.0,7344.0,7020.0,6924.0,6396.0,6648.0,7116.0,6132.0,5580.0,6036.0,6864.0,7104.0,7500.0,6804.0,7368.0,4848.0,6936.0,6276.0,7176.0,7236.0,7428.0,6996.0,7116.0,6180.0,6960.0,6528.0,6216.0,5268.0,6540.0,6216.0,6732.0,6156.0,5160.0,5472.0,5496.0,6480.0,6852.0,6768.0,5112.0,6120.0,5352.0,5256.0,6720.0,6408.0,6504.0,7848.0,5688.0,5028.0,5616.0,7104.0,6540.0,6588.0,6804.0,6696.0,6792.0,6396.0,6876.0,6660.0,6864.0,6144.0,6480.0,7164.0,6528.0,6552.0,6708.0,6972.0,6540.0,5976.0,5736.0,4920.0,5304.0,5436.0,5400.0
Mainline 12,6972.0,6684.0,6864.0,7836.0,7260.0,7692.0,7140.0,7992.0,7656.0,7776.0,7800.0,7596.0,7140.0,6972.0,7020.0,6768.0,6612.0,6888.0,4980.0,4968.0,6540.0,7152.0,7164.0,6420.0,6888.0,6984.0,5388.0,7152.0,6708.0,6936.0,7176.0,7116.0,6180.0,6840.0,5880.0,6036.0,6936.0,5208.0,5664.0,5844.0,5244.0,6588.0,5508.0,4980.0,4428.0,5028.0,6888.0,6624.0,5544.0,5280.0,5820.0,5436.0,4608.0,6456.0,5928.0,6396.0,6288.0,5532.0,4560.0,5916.0,6804.0,6876.0,6588.0,6768.0,6600.0,6756.0,6480.0,6864.0,6600.0,6624.0,6288.0,6456.0,6816.0,6504.0,6516.0,6756.0,7236.0,6420.0,5952.0,5532.0,5112.0,5136.0,5556.0,5556.0
Mainline 13,6360.0,6564.0,6144.0,6900.0,6768.0,6888.0,6900.0,7056.0,6828.0,7116.0,6576.0,7236.0,6804.0,6348.0,6888.0,6324.0,6060.0,5604.0,4704.0,5052.0,6324.0,6240.0,6636.0,6120.0,6168.0,5496.0,5940.0,6456.0,6468.0,6240.0,6660.0,6360.0,6432.0,5508.0,6048.0,6336.0,6084.0,4764.0,5736.0,5364.0,5496.0,5736.0,4788.0,4776.0,4584.0,5496.0,5928.0,5952.0,4320.0,4944.0,4884.0,4500.0,5148.0,5676.0,5736.0,6084.0,5304.0,4752.0,3972.0,6132.0,6204.0,6708.0,6156.0,6384.0,5964.0,6252.0,5892.0,6012.0,6300.0,6060.0,5352.0,6204.0,6096.0,5400.0,6192.0,6288.0,6636.0,5532.0,5256.0,5088.0,4836.0,4452.0,4848.0,5136.0
Mainline 14,6168.0,6852.0,5904.0,6804.0,6624.0,6624.0,6864.0,7164.0,6684.0,7248.0,6612.0,7248.0,7092.0,6156.0,6888.0,6432.0,6156.0,5568.0,4704.0,5484.0,6216.0,6396.0,6732.0,6468.0,5868.0,5208.0,6084.0,6324.0,6252.0,6012.0,6504.0,6048.0,6516.0,5532.0,6048.0,6720.0,5520.0,4632.0,5988.0,5064.0,5772.0,5496.0,4740.0,4344.0,4716.0,5976.0,5532.0,5844.0,4296.0,4944.0,5100.0,4452.0,5484.0,5496.0,5880.0,6300.0,5040.0,4620.0,4200.0,6300.0,6312.0,6684.0,6276.0,6468.0,6096.0,6156.0,5808.0,6000.0,6060.0,5964.0,5280.0,5988.0,6216.0,5520.0,6252.0,6312.0,6456.0,5400.0,5088.0,4908.0,5076.0,4512.0,4992.0,5196.0
Mainline 15,5556.0,5856.0,5808.0,6684.0,6060.0,5964.0,6516.0,6456.0,6240.0,6264.0,6456.0,6252.0,6360.0,5928.0,5916.0,5832.0,5448.0,4032.0,4260.0,5748.0,5628.0,6168.0,5628.0,5664.0,4872.0,5184.0,5724.0,5688.0,5136.0,5604.0,6048.0,5712.0,5256.0,4764.0,5676.0,4752.0,4140.0,5292.0,4800.0,4908.0,4656.0,4548.0,3636.0,4452.0,5064.0,5328.0,5004.0,4164.0,4548.0,4176.0,4272.0,4872.0,4716.0,5088.0,5244.0,4644.0,4092.0,4044.0,5424.0,5784.0,5928.0,6324.0,5964.0,5556.0,5448.0,5616.0,6036.0,5496.0,5724.0,5364.0,5604.0,5700.0,5616.0,5484.0,6264.0,5880.0,5676.0,5148.0,4824.0,4800.0,4848.0,4344.0,4452.0,5112.0
Mainline 16,6084.0,6516.0,5940.0,7080.0,6660.0,7248.0,7308.0,7380.0,6936.0,6480.0,6864.0,6948.0,7248.0,7140.0,7380.0,5496.0,5352.0,5004.0,6504.0,6504.0,7056.0,6720.0,5544.0,5856.0,6756.0,5484.0,6396.0,5844.0,6372.0,6972.0,6060.0,5484.0,5172.0,6396.0,5004.0,3852.0,5844.0,4680.0,5172.0,5292.0,4308.0,3876.0,4404.0,5928.0,6240.0,5100.0,4116.0,4776.0,3960.0,4104.0,4824.0,5100.0,5556.0,5988.0,5280.0,4152.0,4272.0,5676.0,6732.0,6036.0,6816.0,6732.0,5868.0,6120.0,7020.0,7272.0,7176.0,6324.0,5688.0,6084.0,6336.0,6624.0,5892.0,6720.0,6984.0,5328.0,6168.0,5292.0,6000.0,5928.0,6276.0,5556.0,4920.0,4956.0
