,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Mainline 17,4692.0,4296.0,6060.0,7116.0,7032.0,8424.0,7692.0,7584.0,6900.0,6336.0,7044.0,6780.0,7116.0,7080.0,7104.0,6108.0,5256.0,5604.0,6732.0,5988.0,7296.0,6516.0,6300.0,6024.0,6996.0,6012.0,6528.0,6192.0,6804.0,7272.0,5520.0,6948.0,4596.0,4872.0,5628.0,5376.0,6744.0,5892.0,5772.0,5928.0,4980.0,4560.0,5664.0,6912.0,6900.0,5508.0,6480.0,6132.0,6132.0,6504.0,6396.0,6396.0,7548.0,7848.0,6144.0,5760.0,6096.0,5040.0,8196.0,7836.0,8220.0,7416.0,6372.0,7080.0,7212.0,7944.0,8724.0,8196.0,5796.0,5760.0,6696.0,6696.0,6576.0,7008.0,8100.0,6420.0,6288.0,4884.0,5784.0,5868.0,6588.0,5664.0,4536.0,5376.0
Mainline 18,5304.0,5256.0,5484.0,5544.0,6228.0,6288.0,6288.0,5928.0,6132.0,5736.0,5664.0,5772.0,5796.0,5592.0,4764.0,4620.0,3960.0,5316.0,5520.0,5976.0,6312.0,4500.0,5364.0,5340.0,5304.0,5820.0,5400.0,5544.0,5760.0,5892.0,4908.0,5040.0,5940.0,5040.0,3744.0,5580.0,4668.0,5016.0,5196.0,3864.0,4128.0,4656.0,5616.0,6348.0,5304.0,3960.0,5304.0,5220.0,4608.0,5544.0,5316.0,5328.0,6216.0,4944.0,3804.0,4212.0,5328.0,6216.0,5736.0,5796.0,6084.0,5580.0,5352.0,5964.0,5928.0,5736.0,5172.0,5160.0,4392.0,5304.0,4752.0,5064.0,4776.0,4992.0,5148.0,5016.0,5352.0,4656.0,4812.0,4452.0,5112.0,4752.0,4008.0,3816.0
Mainline 19,5460.0,5556.0,5604.0,5388.0,5964.0,5316.0,6000.0,5736.0,5940.0,5616.0,5640.0,6036.0,5544.0,5304.0,3780.0,3828.0,4128.0,5340.0,5544.0,5952.0,5988.0,4236.0,4716.0,5532.0,4740.0,5256.0,5280.0,4284.0,5412.0,4740.0,3600.0,4548.0,5568.0,4320.0,3180.0,5268.0,3984.0,4920.0,4668.0,3876.0,3852.0,5016.0,5460.0,5796.0,4416.0,4392.0,4680.0,4884.0,3912.0,5664.0,4560.0,5004.0,4764.0,4500.0,3060.0,4080.0,5232.0,5952.0,5148.0,6000.0,5640.0,4392.0,4956.0,5556.0,5580.0,5916.0,4872.0,5184.0,4668.0,5388.0,4848.0,5184.0,4908.0,5016.0,5136.0,5004.0,5436.0,4524.0,4620.0,3732.0,5124.0,4884.0,4104.0,4140.0
Mainline 20,6000.0,5664.0,6096.0,5880.0,6108.0,5196.0,6000.0,5676.0,5868.0,5568.0,5940.0,5952.0,5844.0,5892.0,3792.0,3060.0,5088.0,6096.0,6036.0,5988.0,5964.0,5424.0,4824.0,5472.0,5340.0,5484.0,5772.0,4176.0,5688.0,4464.0,4116.0,5688.0,5856.0,4056.0,4728.0,5160.0,3924.0,5052.0,4200.0,3720.0,2688.0,5268.0,5940.0,5880.0,3744.0,5592.0,3972.0,4632.0,3984.0,5652.0,5340.0,5496.0,4512.0,4584.0,3012.0,4392.0,6048.0,6132.0,5112.0,6396.0,5052.0,3660.0,5772.0,5964.0,5760.0,5892.0,4632.0,5556.0,4572.0,5592.0,4584.0,5436.0,4956.0,5040.0,5352.0,5604.0,5352.0,4836.0,4956.0,4836.0,5040.0,4860.0,4236.0,4368.0
Mainline 21,8076.0,7224.0,7332.0,6888.0,7692.0,7260.0,8148.0,7284.0,7140.0,7812.0,7392.0,7992.0,6180.0,5496.0,5448.0,4728.0,6972.0,7560.0,7044.0,6756.0,6000.0,6384.0,6816.0,5928.0,7260.0,6696.0,6564.0,7068.0,6540.0,5352.0,6012.0,7596.0,5712.0,5976.0,6612.0,5952.0,6936.0,6288.0,5760.0,5568.0,6324.0,6912.0,7332.0,7284.0,6252.0,7512.0,5604.0,6708.0,6576.0,6756.0,7512.0,7272.0,6744.0,5532.0,5748.0,7464.0,7920.0,7704.0,7500.0,7848.0,6684.0,6588.0,7584.0,7608.0,7260.0,6504.0,6756.0,7128.0,7368.0,7056.0,6708.0,7152.0,6684.0,6096.0,7056.0,7044.0,7440.0,5928.0,6324.0,6228.0,6852.0,6336.0,6252.0,6840.0
Mainline 22,6744.0,6828.0,6792.0,5796.0,6504.0,5748.0,6888.0,6444.0,6276.0,6564.0,6552.0,6396.0,5100.0,4104.0,4488.0,5568.0,6432.0,6312.0,6384.0,6180.0,5412.0,4488.0,5736.0,4824.0,5436.0,5700.0,4668.0,6060.0,4920.0,3984.0,5856.0,5964.0,5028.0,5340.0,5376.0,4560.0,5556.0,5640.0,4644.0,3672.0,5592.0,5676.0,5568.0,4884.0,6120.0,5112.0,5568.0,5508.0,5544.0,5040.0,6072.0,5052.0,5280.0,3792.0,4596.0,6132.0,5832.0,5352.0,6180.0,6156.0,4608.0,5520.0,6060.0,5940.0,5904.0,3612.0,5220.0,5256.0,5808.0,5436.0,5112.0,5412.0,5820.0,4944.0,5460.0,6708.0,6096.0,4824.0,5220.0,5628.0,5496.0,5124.0,5088.0,5400.0
Mainline 23,7236.0,6900.0,6684.0,5916.0,6648.0,6276.0,6756.0,6660.0,6432.0,6720.0,6552.0,5976.0,4980.0,5232.0,4476.0,4500.0,6504.0,6384.0,6720.0,4836.0,6144.0,5748.0,4764.0,5928.0,5916.0,6168.0,5676.0,6708.0,4440.0,5340.0,6156.0,4860.0,4284.0,5988.0,4536.0,5916.0,5328.0,4248.0,5508.0,5532.0,6348.0,5736.0,6156.0,5376.0,6492.0,4404.0,5052.0,6360.0,5280.0,5916.0,5988.0,4980.0,5028.0,5052.0,6132.0,6660.0,6480.0,6288.0,6588.0,6456.0,5052.0,6180.0,6720.0,6768.0,6360.0,6192.0,6192.0,6372.0,6108.0,6204.0,6096.0,6132.0,6732.0,5616.0,5724.0,6996.0,6996.0,5892.0,5592.0,6084.0,5700.0,5676.0,5604.0,6252.0
Mainline 24,7872.0,7200.0,7440.0,6360.0,7356.0,6756.0,7368.0,7500.0,7056.0,7668.0,7296.0,6648.0,5256.0,6960.0,5172.0,5088.0,7176.0,6876.0,7284.0,6168.0,6792.0,7140.0,5484.0,7104.0,6996.0,5772.0,6528.0,6624.0,4836.0,6756.0,6672.0,5700.0,6216.0,6144.0,5268.0,7284.0,6792.0,5736.0,5064.0,7020.0,6564.0,6732.0,5364.0,7272.0,6240.0,6348.0,6240.0,6816.0,6216.0,6660.0,6396.0,6288.0,4104.0,5688.0,7020.0,7500.0,6648.0,6756.0,7356.0,4764.0,7080.0,7428.0,7680.0,7740.0,5808.0,6468.0,6948.0,6672.0,5556.0,7188.0,7152.0,6588.0,7164.0,6240.0,6168.0,7536.0,7152.0,6528.0,6072.0,6360.0,5904.0,6060.0,6180.0,6624.0
Mainline 25,7440.0,7020.0,7080.0,6348.0,6948.0,7260.0,7344.0,7764.0,6612.0,7104.0,6552.0,6108.0,6180.0,6792.0,6108.0,4392.0,6552.0,6384.0,7128.0,6288.0,6324.0,6360.0,6264.0,5028.0,6144.0,6432.0,6552.0,6420.0,5424.0,6888.0,5868.0,5400.0,6288.0,5796.0,6084.0,5544.0,5100.0,6216.0,6240.0,6768.0,6864.0,6948.0,5544.0,6828.0,5880.0,5676.0,6324.0,6204.0,7272.0,5964.0,6252.0,6048.0,5112.0,6120.0,6780.0,7296.0,6384.0,6708.0,6972.0,5484.0,6960.0,7104.0,7092.0,7248.0,6492.0,7272.0,6756.0,7152.0,6312.0,6780.0,6768.0,6552.0,6564.0,6144.0,5940.0,6852.0,6156.0,6228.0,5928.0,6756.0,5436.0,6288.0,5712.0,5868.0
Mainline 26,6540.0,6468.0,6300.0,6384.0,6780.0,6816.0,7152.0,7068.0,6552.0,6564.0,6300.0,5112.0,6180.0,6516.0,5988.0,3924.0,5940.0,6228.0,6960.0,6024.0,5916.0,5832.0,6156.0,5352.0,5748.0,6408.0,6288.0,5292.0,5868.0,6576.0,5592.0,5292.0,6120.0,5436.0,6264.0,6012.0,4908.0,5388.0,6144.0,6552.0,6588.0,6000.0,5688.0,6288.0,6432.0,5880.0,6144.0,6324.0,6816.0,5916.0,6036.0,4848.0,5520.0,6264.0,6276.0,6432.0,7032.0,6672.0,5280.0,6696.0,6804.0,6432.0,6828.0,6300.0,5784.0,6792.0,6444.0,6396.0,6300.0,6108.0,6840.0,6084.0,6252.0,6384.0,5376.0,6132.0,5484.0,6348.0,5376.0,5736.0,5196.0,6144.0,4872.0,5232.0
Mainline 27,6384.0,7416.0,6432.0,6408.0,6420.0,6420.0,7164.0,7236.0,6060.0,6480.0,6192.0,5124.0,6276.0,6564.0,6072.0,3816.0,6036.0,6276.0,6924.0,5916.0,5808.0,6192.0,6264.0,5676.0,5868.0,6540.0,6348.0,5388.0,6012.0,6420.0,5580.0,5580.0,6060.0,5664.0,6216.0,6324.0,5556.0,5388.0,6240.0,6336.0,6696.0,5880.0,5748.0,6060.0,6564.0,6096.0,6084.0,6216.0,6672.0,6048.0,6240.0,4236.0,5592.0,6324.0,6288.0,6228.0,6888.0,6780.0,5160.0,6732.0,6696.0,6420.0,6960.0,6180.0,5808.0,6816.0,6348.0,6036.0,6132.0,6204.0,6672.0,6180.0,6396.0,6144.0,5184.0,6204.0,5316.0,6060.0,5268.0,5712.0,5304.0,5820.0,4800.0,5400.0
Mainline 28,7356.0,6900.0,6600.0,7104.0,7284.0,6960.0,7788.0,7692.0,5892.0,6972.0,6492.0,5856.0,6804.0,6600.0,7104.0,4536.0,6624.0,6588.0,7272.0,6672.0,6228.0,6960.0,6444.0,6504.0,6420.0,6996.0,6972.0,5940.0,6792.0,6516.0,6252.0,6420.0,6696.0,6444.0,6420.0,6756.0,6396.0,6516.0,7200.0,7044.0,7128.0,6120.0,6324.0,6456.0,6648.0,6708.0,6444.0,7032.0,6888.0,6744.0,6948.0,4752.0,6228.0,7080.0,7008.0,6996.0,7248.0,7236.0,5652.0,6996.0,7188.0,6900.0,7344.0,6396.0,6684.0,7176.0,6672.0,6180.0,6756.0,6780.0,6840.0,6828.0,6936.0,6672.0,5688.0,6732.0,5916.0,6720.0,5640.0,5748.0,5244.0,6732.0,5400.0,5268.0
Mainline 29,12048.0,12108.0,11364.0,12540.0,12780.0,12648.0,12672.0,12960.0,11460.0,12648.0,15168.0,12012.0,12696.0,12408.0,12624.0,10524.0,11664.0,16044.0,13212.0,16224.0,12264.0,12900.0,15732.0,12648.0,12420.0,12984.0,12600.0,12216.0,12660.0,12504.0,12168.0,12348.0,12636.0,12360.0,12588.0,17544.0,12300.0,12804.0,12804.0,12696.0,13152.0,12648.0,15708.0,16032.0,15900.0,12480.0,12600.0,13092.0,15876.0,16368.0,12408.0,14628.0,8712.0,12924.0,16104.0,16500.0,9036.0,12612.0,8004.0,9192.0,13056.0,9240.0,12648.0,15084.0,11928.0,15420.0,11244.0,7476.0,7920.0,7344.0,7872.0,11292.0,8340.0,7824.0,10836.0,12084.0,7848.0,11532.0,10884.0,10212.0,10632.0,8124.0,11688.0,10128.0
Mainline 30,6756.0,8412.0,7512.0,7524.0,6624.0,7428.0,8820.0,7632.0,6600.0,7164.0,11100.0,7932.0,7800.0,8196.0,8088.0,6780.0,7800.0,12840.0,9216.0,13092.0,8916.0,7320.0,12732.0,7488.0,6984.0,8628.0,8676.0,7620.0,8004.0,7116.0,7680.0,7284.0,8016.0,7680.0,7668.0,12348.0,7464.0,7248.0,8496.0,8268.0,8604.0,7608.0,10776.0,10128.0,12840.0,8352.0,7884.0,9408.0,11448.0,11868.0,6144.0,12072.0,6792.0,7272.0,9936.0,10308.0,7440.0,8712.0,7596.0,6804.0,8508.0,6864.0,8412.0,9540.0,7896.0,7800.0,8136.0,7020.0,7416.0,6936.0,7620.0,7896.0,7152.0,6720.0,7632.0,7800.0,6384.0,7236.0,5760.0,7068.0,6600.0,6708.0,6504.0,6660.0
Mainline 31,6444.0,7656.0,7236.0,7008.0,6624.0,6948.0,7944.0,7320.0,6180.0,6768.0,5928.0,6840.0,7260.0,6924.0,6876.0,6168.0,6612.0,6936.0,7476.0,6948.0,7236.0,7020.0,6780.0,6564.0,6552.0,7164.0,7188.0,6576.0,7032.0,5616.0,6696.0,6432.0,6852.0,6516.0,7068.0,6492.0,6972.0,6480.0,7536.0,7284.0,7524.0,6516.0,6216.0,6960.0,6828.0,7344.0,6600.0,7296.0,7008.0,6924.0,5268.0,6864.0,6984.0,6816.0,6984.0,7320.0,7248.0,7080.0,6948.0,6888.0,7536.0,6780.0,6768.0,6828.0,6816.0,6948.0,6924.0,6552.0,7044.0,6756.0,7128.0,6696.0,7092.0,6600.0,6444.0,7128.0,6024.0,6612.0,5688.0,5736.0,5316.0,6564.0,5472.0,5496.0
Mainline 32,5880.0,7032.0,6588.0,5976.0,6264.0,6228.0,6324.0,6636.0,5868.0,6252.0,4968.0,5748.0,6408.0,6156.0,6108.0,6084.0,5772.0,6396.0,6264.0,6312.0,6456.0,6084.0,5988.0,6000.0,5988.0,6312.0,6756.0,6336.0,6228.0,5364.0,5832.0,5868.0,6120.0,6132.0,6060.0,5724.0,6720.0,6528.0,6816.0,6540.0,6876.0,6420.0,6060.0,6492.0,6168.0,6648.0,6060.0,6288.0,6456.0,6084.0,6456.0,6276.0,6708.0,5964.0,5976.0,6876.0,6288.0,6156.0,6036.0,6036.0,6792.0,6156.0,6216.0,6024.0,5952.0,5652.0,6228.0,5844.0,6372.0,5952.0,6504.0,6024.0,6240.0,6024.0,5196.0,5772.0,5304.0,5712.0,4740.0,5532.0,5040.0,5436.0,4620.0,5004.0
Mainline 33,8304.0,8676.0,8028.0,7308.0,6984.0,7524.0,7236.0,8124.0,7308.0,7464.0,5952.0,6876.0,8172.0,7416.0,7644.0,8280.0,7008.0,7452.0,7860.0,8340.0,8412.0,7560.0,7752.0,7632.0,7836.0,8232.0,8472.0,8112.0,8148.0,6816.0,7440.0,7284.0,8052.0,7188.0,7632.0,7116.0,8448.0,7956.0,7992.0,8304.0,8136.0,7800.0,8280.0,8028.0,7584.0,7872.0,7680.0,8184.0,7992.0,6024.0,8256.0,8436.0,7944.0,7920.0,7872.0,8436.0,7716.0,7440.0,8112.0,7740.0,8148.0,7932.0,7992.0,7920.0,7176.0,7416.0,7632.0,7284.0,8124.0,7164.0,7488.0,7092.0,8064.0,7860.0,6444.0,6384.0,6696.0,6888.0,5772.0,6696.0,5604.0,6660.0,6480.0,5664.0
